,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Pfand,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Frischegarantie (mindestens),Gekühlt (+2 bis +7°C) mind. haltbar bis,Eigenschaften,Ursprungsland,Informationen zum Angebot,Lagerung,Kann Spuren enthalten von ,Abtropfgewicht,davon Stärke,Beschreibung,Hinweis zur Frischegarantie,Einfach ungesättigte Fettsäuren,EInlage Currywurstscheiben,Bruttogewicht,Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,Hinweis,davon Polyole,mehrfach ungesättigte Fettsäuren
196,Bits & Bites Vegan Tikka Masala Chunks,"5,99€","1 Glas entspricht ca. 2 Portionen

Bereit in die indische Welt einzutauchen und ein Aroma Abenteuer mit den Vegan Tikka Masala Chunks zu erleben? Glaubt an einer von vielen Geschichten über CTM, gängige Abkürzung für “Chicken Tikka Masala”, wurde das ursprüngliche Gericht von einem Koch aus Bangladesch erfunden, um einem anspruchsvollen britischen Kunden zu gefallen. Dieser, aus Großbritannien 
stammende Streetfood Klassiker, wurde von uns in veganer Form neu interpretiert und gefällt uns auf jeden Fall. , Bits & Bites GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/60739-bits-bites-bits-bites-vegan-tikka-masala-chunks-2/,https://bilder.kolonial.no/local_products/8bfedbe4-4db7-4c6e-b8cd-792a0e81aa56.jpg?auto=format&fit=max&w=999&s=0fde3adf58237e916d12cbd0225573fe,2.40 g,8 g,,4.70 g,6.40 g,1.90 g,5.50 g,479 kJ / 115 kcal,"Bits & Bites GmbH & Co. KG, Wienburgstraße, 207, 48159 Münster",Deutschland,,"31% Soja-Filetstücke (28% Sojabasis (Trinkwasser,  texturiertes Sojaeiweiß, Speisesalz), Sonnenblumenöl, natürliches Aroma)), Tomatenswürfel, Kokosnussmilch (Kokosnussextrakt 6,6%, Wasser), Zwiebeln, Soja-Joghurtalternative (Wasser, geschälte Sojabohnen 10,7%), Stabilisator (Pektine), Maisstärke, Säureregulator (Citronensäure), Meersalz, Johgurtkulturen), Zuckerrübensirup, Tikka Masala Paste (Wasser, gemahlene Gewürze 20% (Kurkuma, Paprika, Kreuzkümmel, Korinander, Gewürze, Ingwer, Rapsöl, Salz, Maismehl, Säuerungsmittel (Essigsäure, Citronensäure), Tamarinden, Knoblauchpulver, getrocknetes Bockshornkleeblatt, Kreuszkümmel, Paprikaextrakt, getrocknetes Korianderblatt, Senfpulver)), Gemüsepulver (Pastinaken, Tomaten), Sonnenblumenöl, Limettensaftkonzentrat, Senfsaat, Gewürzextrakte, Karamellzucker, Maltodextrin, Branntweinessig  Säuerungsmittel: Essigsäure, Citronensäure.  Stabilisator: Pektine ",380 Gramm,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,,,,,,,,,,,,,,,,,,
197,Youcook Japanese Style Chicken Teriyaki mit Huhn,"4,49€","Fertiggericht aus Nudeln und marinierter Hähnchenbrust in pikanter Sauce, nach japanischer Art gewürzt. , YOUCOOK GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44567-youcook-youcook-japanese-style-chicken-teriyaki-mi/,https://bilder.kolonial.no/local_products/32d8ed71-986e-47ef-90a4-9cf8c713c8cd.jpg?auto=format&fit=max&w=1000&s=b050fd6efe6aa8a11786cc552f0b615d,1.20 g,6.40 g,,5.90 g,5.90 g,3.90 g,3.90 g,546 kJ / 130 kcal,"YOUCOOK GmbH, Statthalterhofweg 71, 50858 Köln, Deutschland",,,"42% gegarte Nudeln (Wasser, HARTWEIZENGRIEß, HÜHNEREIEIWEIß, Rapsöl), 14% Hähnchenbrustfilet gegart (Hähnchenbrustfilet, Kartoffelstärke, Salz, Dextrose), Paprika, Sojasauce (Wasser, SOJABOHNEN, WEIZEN, Salz), Zwiebeln, Zucker, Apfelmus (Äpfel, Zucker), Alkoholisches Reisgetränk (Wasser, Reis, WEIZEN), Gewürze (Ingwer, Knoblauch, Schwarzkümmel, Zitronengras, SELLERIE, SENF), Rapsöl, Balsamessig (Weinessig, Traubenmostkonzentrat), Stärke, Karamellzuckersirup, Branntweinessig, Salz, Verdickungsmittel Xanthan, Aroma, MAGERMILCHPULVER, HÜHNEREIEIWEIß, WEIZENMEHL. ",420 Gramm,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,6 Tage,,,,,,,,,,,,,,,,,
198,Bits & Bites Teriyaki Beef Strips,"5,99€","Pikante Rindfleischstreifen in Teriyaki Sauce.
(Ein Glas eignet sich für die Zubereitung von zwei Mahlzeiten).

Die Teriyaki Steak Strips vereinen das Aroma unserer süß-scharfen Teriyaki Sauce mit dem einzigartigen. Geschmack feiner Rindfleischstreifen. Unsere Teriyaki Steak Strips sind eine aufregende Interpretation der weit verbreiteten Teriyaki Geschmacksrichtung, die ihren Ursprung wohl auf Hawaii hat und dort von eingewanderten Japanern erstmals gekocht wurde. , Bits & Bites GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/60741-bits-bites-bits-bites-teriyaki-beef-strips-2-porti/,https://bilder.kolonial.no/local_products/a055406b-5e8d-4f0e-9b9c-cd2e75ae9962.jpg?auto=format&fit=max&w=999&s=4eceb992346f083141cdfe06ec5b51bb,1.70 g,11.70 g,,8 g,11.20 g,2.80 g,6.40 g,640 kJ / 153 kcal,"Bits & Bites GmbH & Co. KG, Wienburgstraße, 207, 48159 Münster",Deutschland,,"37% gegartes Rindfleisch, Wasser, 15% Teriyaki-Sauce (Zucker, Sojasauce 30% (Wasser, Salz, Sojabohnen 12%, Weizenmehl), Wasser, Reisessig (Wasser, Reis, Salz), Tomatenmark, Reiswein, Maisstärke, Ingwer, Zwiebeln, Knoblauchpulver), Zucker, Weißwein (enthält Sulfite), modifizierte Stärke, Sesamsaat, Sonnenblumenöl, Zitronensaftkonzentrat, Salz, Sesamöl, Mangostückchen, Zuckerrohressig, Sojasauce (Wasser, Salz, Sojabohnen, Weizenmehl), Gewürze, Dextrose ",390 Gramm,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,,,,,,,,,,,,,,,,,,
199,HOFMANNs planted.kebab Thai Style,"8,49€","Veganer Kebab-Genuss auf Basis von Erbsenprotein, in unserer pikanten Massaman-Currysoße mit Kartoffelstücken, Blattspinat, roten Zwiebeln und Lauchzwiebeln, garniert mit Mandelstiften, dazu lockerer Basmati-Reis. , Hofmann Menü-Manufaktur GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/60865-hofmanns-hofmanns-planted-kebab-thai-style/,https://bilder.kolonial.no/local_products/f099e118-adc0-463b-931a-e2948359cd1b.jpg?auto=format&fit=max&w=1000&s=903d0e6f62b5866b19506bf71ade5580,0.92 g,5 g,,2 g,12 g,5 g,9 g,638 kJ / 153 kcal,"Hofmann Menü-Manufaktur GmbH, Adelbert-Hofmann-Straße 6, 97944 Boxberg, Deutschland",Deutschland,,"Basmati-Reis gegart (Wasser, Basmatireis), Kokosnussmilch (Kokosnussextrakt, Wasser), veganer Kebab (14%) (Wasser, Erbsenprotein (26%), Rapsöl, Erbsenfasern, Gewürze, Salz, Hefe), Kartoffeln, Gemüse in veränderlichen Gewichtsanteilen (11%) (Blattspinat, rote Zwiebelstreifen, Lauchzwiebeln), Tomaten, Tomatensaft, Zwiebeln, MANDELN (2%), Wasser, Zuckerrübensirup, Massaman Currypaste (1%)  (getrocknete rote Chili, Knoblauch, Schalotten, Speisesalz, Zitronengras, Kreuzkümmel, Koriandersamen, Galgant), modifizierte Stärke, Rapsöl, jodiertes Speisesalz (Speisesalz, Kaliumjodat), Knoblauch. ",570 Gramm,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,,,,,,TiefkühlproduktBei -18 °C oder niedriger lagern. Nach dem Auftauen nicht wieder einfrieren.,,,,,,,,,,,,
200,Youcook Indisches Butter Chicken,"4,49€","Fertiggericht aus Hähnchenbrustfilet in cremiger Tomatensauce und Reis. , YOUCOOK GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45930-youcook-youcook-indisches-butter-chicken/,https://bilder.kolonial.no/local_products/5310d633-7eaf-4b82-b197-d33a58bb4b5f.jpg?auto=format&fit=max&w=1000&s=d1c7cb8657a51bf7a742b2eef492e70c,0.55 g,5.30 g,,1.70 g,1.70 g,7.10 g,7.10 g,602 kJ / 144 kcal,"YOUCOOK GmbH, Statthalterhofweg 71, 50858 Köln, Deutschland",Deutschland,,"42% gegarter Reis (Wasser, Basmati-, Jasminreismischung, Rapsöl), 14% Hähnchenbrustfilet gegart (Hähnchenbrustfilet, Kartoffelstärke, Salz, Dextrose), 10% Tomaten, Tomatenmark, Paprika, Zwiebeln, SAHNE, Kokosnussmilchpulver (Kokosnussmilch, Maltodextrin, MILCHEIWEISS), BUTTER, CRÉME FRAÎCHE, Geflügelbrühe (Puten- und Hühnerbrühe, Salz), Gewürze (enthalten SELLERIE, SENF), Hühnerfett, Zucker, Stärke, Salz, Limettensaftkonzentrat, Emulgator Mono- und Diglyceride von Speisefettsäuren, Verdickungsmittel Guarkernmehl, MAGERMILCHPULVER, Dextrose, Branntweinessig, Aroma, HÜHNEREIEIWEISS, WEIZENMEHL. Das Produkt kann Spuren von SOJA enthalten. ",420 Gramm,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,6 Tage,,,,,,,,,,,,,,,,,
201,HOFMANNs Hähnchen Erdnuss-Tikka,"9,39€","Curry nach indischer Art, aus zarten Hähnchenbrustfleischstücken, grünen Bohnen, Zwiebeln, Mais und Erdnüssen, in unserer hauseigenen Erdnuss-Currysoße, dazu lockerer Basmati-Reis. , Hofmann Menü-Manufaktur GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59465-hofmanns-hofmanns-hahnchen-erdnuss-tikka/,https://bilder.kolonial.no/local_products/030c82e3-e45a-42d0-9abe-a13256a7c814.jpg?auto=format&fit=max&w=1000&s=76d96529237a673ff3d585d94a4a0e5c,0.76 g,8 g,,3 g,14 g,114 g,6 g,604 kJ / 144 kcal,"Hofmann Menü-Manufaktur GmbH, Adelbert-Hofmann-Straße 6, 97944 Boxberg, Deutschland",Deutschland,,"Basmati-Reis gegart, Hähnchenbrustfilet (Hähnchenbrustfilet, Stärke, Palmöl, jodiertes Speisesalz, Maisxylose, Dextrose, Maltodextrin, Glucosesirup, Säureregulator Natriumcitrat), Gemüse in veränderlichen Gewichtsanteilen (grüne Bohnen, Zwiebeln, Mais), Erdnussmus (geröstete, gemahlene Erdnusskerne), Tomaten, Tomatensaft, Zuckerrübensirup, Rapsöl, Gemüsefond (Gewürzextrakte, Tomatenmark, Gewürze, Trockenglucosesirup, Karottenextrakt, Tomatenpulver, Speisesalz, Branntweinessig), Kartoffelpüreeflocken (Kartoffeln, Emulgator Mono- und Diglyceride von Speisefettsäuren, Curcumaextrakt), Erdnüsse (Erdnusskerne, Erdnussöl, Speisesalz), jodiertes Speisesalz, Curry-Madras, Orangensaftkonzentrat, Knoblauch, Chili, Ingwer, Sesamkörner, Gewürzmischung Garam Masala (Petersilie, Knoblauch, Chili, Koriander, Cumin, Paprika, Cardamom, Bockshornklee, Muskatnuss, Lorbeerblätter, Nelken, Oregano). ",620 Gramm,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,,,,,,TiefkühlproduktBei -18 °C oder niedriger lagern. Nach dem Auftauen nicht wieder einfrieren.,,,,,,3 g,,,,,,
202,"Bits & Bites, Peanut Chicken Bites","5,99€","Zarte Hähnchenstücke in cremiger Erdnusssauce.
(Ein Glas eignet sich für die Zubereitung von zwei Mahlzeiten).

Die schmackhaften Peanut Chicken Bites sind echte Genussgaranten. Die zarten Filetstücke vom hochwertigen Hähnchenfleisch verbinden sich mit dem vollmundigen Aroma unserer cremigen Erdnusssauce zu einem unwiderstehlichen Geschmackserlebnis. Die subtile, asiatische Würze gibt der Kreation den entscheidenden Kick. , Bits & Bites GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/60743-bits-bites-bits-bites-peanut-chicken-bites-2-porti/,https://bilder.kolonial.no/local_products/daaa46dd-2db0-4955-a997-ae06e16f8f8e.jpg?auto=format&fit=max&w=999&s=a334e915304e9e2aba4de4803aeeaf65,1.70 g,12.80 g,,3.60 g,4.60 g,4.60 g,11 g,712 kJ / 138 kcal,"Bits & Bites GmbH & Co. KG, Wienburgstraße, 207, 48159 Münster",Deutschland,,"36% gegartes Hähnchenbrustfilet, Wasser, Kokosnussmilch (Kokosnussextrakt, Wasser), 12% geröstete Erdnüsse, Sojasauce (Wasser, Salz, Sojabohnen, Weizenmehl), Sonnenblumenöl, Zucker, Salz, modifizierte Maisstärke, Gewürze, Rindfleischfond (Rind-fleischextrakt, Zucker, Speisesalz, Gemüsesaftkonzentrate (Zwiebelsaftkonzentrat, Karottensaftkonzentrat), Champignonsaftkonzentrat, Tomatenkonzentrat) ",385 Gramm,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,,,,,,,,,,,,,,,,,,
203,Youcook Rotes Thai Curry mit Huhn,"4,49€","Hähnchenbrustfilet und Gemüse in cremiger Kokos-Curry-Sauce mit Basmati-Wildreis-Mischung. , YOUCOOK GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44353-youcook-youcook-rotes-thai-curry-mit-huhn/,https://bilder.kolonial.no/local_products/ca18a6ca-8625-48b8-8468-c7b6aeb59850.jpg?auto=format&fit=max&w=1000&s=95a6531118eca38ffd1e1e35e7047f81,0.70 g,5.50 g,,3.50 g,3.50 g,5.40 g,5.40 g,563 kJ / 135 kcal,"YOUCOOK GmbH, Statthalterhofweg 71, 50858 Köln, Deutschland",,,"42% gegarter Reis (Wasser, 31% Basmatireis, Rapsöl, 1% Wildreis), 16% Gemüse in veränderlichen Gewichtsanteilen (Wasserkastanien, Paprika, Bambussprossen, Zwiebeln, SOJABOHNENKERNE), 14% Hähnchenbrustfilet gegart (Hähnchenbrustfilet, Kartoffelstärke, Salz, Dextrose), Wasser, 4,2% Kokosnussmilchpulver (Kokosnussmilch, Maltodextrin, MILCHEIWEIß), Tomatenmark, Rapsöl, Zucker, Gewürze (enthalten SELLERIE, SENF), Fischsauce (SARDELLEN, Salz, Zucker), modifizierte Stärke, Curry-Paste (Chillies, Zitronengras, Knoblauch, Schalotten, Salz, Kaffirlimettenschale, Galgant, Koriander, Kreuzkümmel), Kräuter, Salz, Limettensaftkonzentrat, Paprikaextrakt, Branntweinessig, HÜHNEREIEIWEIß, MAGERMILCHPULVER, WEIZENMEHL. ",420 Gramm,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,6 Tage,,,,,,,,,,,,,,,,,
204,Ben's Original FG Paella,"2,79€","Der Klassiker aus Spanien - In nur 2 Minuten die spanische Küche auf dem Teller. Natürlich nur die besten Zutaten für die Paella: leckeres Gemüse, Chorizo und Safran  - frei von künstlichen Farb- und Aromastoffen.

Unter Schutzatmosphäre verpackt.

OHNE KÜNSTLICHE FARBSTOFFE , Mars GmbH DE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45003-bens-original-bens-original-fg-paella/,https://bilder.kolonial.no/local_products/298f60bd-232e-4b47-a424-b674a2aebdac.jpg?auto=format&fit=max&w=734&s=add91d1b7da7d21594ea4e5c516d1206,0.78 g,4.20 g,1.30 g,1.10 g,28 g,0.40 g,3.10 g,664 kJ / 157 kcal,"Mars GmbH DE, Postfach 1280, 27281 Verden (Aller), Deutschland",Frankreich,,"Dampfgegarter Langkorn-Reis (72%), Tomaten, Chorizo (6.0%) (Schweinefleisch, Wasser, Stärke, Kräuter, Gewürze, Schweineprotein, Salz, Farbstoff (Paprikaextrakt), Knoblauch, Konservierungsstoff (Natriumnitrit)), Roter Paprika (4.4%), Erbsen (2.7%), Sonnenblumenöl, Salz, Gewürze, Grill Gewürzmischung/ Barbecue-Gewürzzubereitung (Zwiebelpulver, Tomatenpulver, Knoblauchpulver, Salz, Gewürze (Paprika, Chilies, Kreuzkümmel, Pfeffer, Koriander), Maltodextrin, Modifizierte Stärke, Raucharoma, Hefeextrakt, Farbstoff (einfaches Zuckerkulör), Oregano), natürliches Aroma, Hefeextrakt, Zwiebelpulver, Paprikapulver*, Knoblauchpulver, Kurkumaextrakt. *aus kontrolliert biologischem Anbau.",250 Gramm,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,,,,,,,,,,,,,,,,,,
205,HOFMANNs Rindsgulasch,"9,99€","Unser hausgemachtes Rindsgulasch mit Zwiebeln und feinen Nockerln. , Hofmann Menü-Manufaktur GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59463-hofmanns-hofmanns-rindsgulasch/,https://bilder.kolonial.no/local_products/d4b8e887-c798-4c00-962a-de84e8bbb787.jpg?auto=format&fit=max&w=1000&s=a60ea7e02b62fb5331e756f2df61613c,1.10 g,8.99 g,,0.96 g,14 g,0.98 g,4 g,547 kJ / 130 kcal,"Hofmann Menü-Manufaktur GmbH, Adelbert-Hofmann-Straße 6, 97944 Boxberg, Deutschland",Deutschland,,"Nockerln gegart (Mehl (Weizen, Dinkel), Hühnerei, Rapsöl, Speisesalz, Säuerungsmittel Citronensäure), Rindfleisch, Zwiebeln, Gewürze (enthält Sellerie), Tomatenmark, Rapsöl, jodiertes Speisesalz, Pastinakenpulver, Weizenmehl, Karamellzuckersirup, Wein-Branntweinessig, Dextrose, Zucker, modifizierte Stärke, Gemüsefond (Gewürzextrakte, Tomatenmark, Gewürze, Trockenglucosesirup, Karottenextrakt, Tomatenpulver, Speisesalz, Branntweinessig), Kräuter. ",480 Gramm,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,,,,,,TiefkühlproduktBei -18 °C oder niedriger lagern. Nach dem Auftauen nicht wieder einfrieren.,,,,,,,,,,,,
206,HOFMANNs Oma's Fleischpflanzerl,"9,39€","Unsere hausgemachten Hacksteaks mit rauchigem Speck, in einer dunklen Bier-Zwiebelsoße, dazu knackiges Gemüse und Salzkartoffeln. , Hofmann Menü-Manufaktur GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59467-hofmanns-hofmanns-omas-fleischpflanzerl/,https://bilder.kolonial.no/local_products/21735bfe-d458-4bb0-aa8b-3fa46e30e882.jpg?auto=format&fit=max&w=1000&s=f1bbf8a1bfa2f13be953dfe4e0c702f7,1.12 g,6 g,,1.91 g,8 g,1.98 g,6 g,476 kJ / 114 kcal,"Hofmann Menü-Manufaktur GmbH, Adelbert-Hofmann-Straße 6, 97944 Boxberg, Deutschland",Deutschland,,"Kartoffeln, Speck-Hacksteak (Schweinefleisch, Rindfleisch, Schweinespeck, Konservierungsstoff Natriumnitrit), Hühnerei, Semmelbrösel (Weizenmehl, Hefe, Speisesalz), Zwiebeln, Senf (Senfsaat, Branntweinessig, Speisesalz, Gewürze, Gewürzextrakt), Petersilie, jodiertes Speisesalz, Gewürze), Gemüse in veränderlichen Gewichstanteilen (Karotten, Broccoli, Romanesco), Zwiebeln, Distelhäuser-Landbier (Gerstenmalz, Hopfen), Rapsöl, jodiertes Speisesalz, modifizierte Stärke, Zuckerrübensirup, Fleischfond (Schweinefleisch, Glucosesirup, Speisesalz, Zucker, Gewürze), Rinderfond (Rindfleisch, Rinderbratensaft, Speisesalz), Tomatenmark, Gemüsefond (Gewürzextrakte, Tomatenmark, Trockenglucosesirup, Karottenextrakt, Tomatenpulver, Speisesalz, Branntweinessig), Karamellzuckersirup, Zucker, Gewürze, Dextrose. ",580 Gramm,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,,,,,,TiefkühlproduktBei -18 °C oder niedriger lagern. Nach dem Auftauen nicht wieder einfrieren.,,,,,,,,,,,,
207,Youcook Indisches Chicken Tikka,"4,49€","Asiatisches Fertiggericht aus Hähnchenbrustfilet in einer indischen Tikka-Sauce mit Tomaten und Kardamom und einer Basmati-Wildreis-Mischung. , YOUCOOK GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45427-youcook-youcook-indisches-chicken-tikka/,https://bilder.kolonial.no/local_products/bdd356e4-5335-4f2e-b05c-e81dfa4da69b.jpg?auto=format&fit=max&w=1000&s=b9e2f6006d58aa43334422e80934319c,0.78 g,6.90 g,,1.80 g,1.80 g,5.40 g,5.40 g,539 kJ / 129 kcal,"YOUCOOK GmbH, Statthalterhofweg 71, 50858 Köln, Deutschland",Deutschland,,"42% gegarter Reis (Wasser, 31% Basmatireis, Rapsöl, 1% Wildreis), 16% Hähnchenbrustfilet gegart (Hähnchenbrustfilet, Kartoffelstärke, Salz, Dextrose), 10% Tomaten, Tomatenmark, SAHNE, Paprika, 2,8% Kokosnussmilchpulver (Kokosnussmilch, Maltodextrin, MILCHEIWEIß), Geflügelbrühe (Puten- und Hühnerbrühe, Salz), CRÉME FRAÎCHE, Karotten, Gewürze (enthalten SELLERIE, SENF), Zwiebeln, Hühnerfett, Salz, Stärke, Schwarzkümmel, Paprika geräuchert (Paprika, Rauch), Zucker, Limettensaftkonzentrat, Emulgator Mono- und Diglyceride von Speisefettsäuren, Verdickungsmittel Guarkernmehl, MAGERMILCHPULVER, Dextrose, Kardamom, Branntweinessig, HÜHNEREIWEIß, WEIZENMEHL. Das Produkt kann Spuren von SOJA enthalten. ",420 Gramm,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,6 Tage,,,,,,,,,,,,,,,,,
208,HOFMANNs Teriyaki-Rind,"10,49€","Rindfleischstreifen aus unserer eigenen Metzgerei, mit Pak Choi, Mungobohnenkeimlingen und Gemüsepaprika, dazu duftender Basmati-Reis. , Hofmann Menü-Manufaktur GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59464-hofmanns-hofmanns-teriyaki-rind/,https://bilder.kolonial.no/local_products/c1ff28e2-35db-4f63-8954-d011b5010980.jpg?auto=format&fit=max&w=1000&s=e79ee2a8cc53718012687730c0c7eeea,1.39 g,6.96 g,,0.96 g,13 g,1 g,3 g,459 kJ / 109 kcal,"Hofmann Menü-Manufaktur GmbH, Adelbert-Hofmann-Straße 6, 97944 Boxberg, Deutschland",Deutschland,,"Basmati-Reis gegart (Basmati-Reis, Rapsöl, jodiertes Speisesalz), Gemüse in veränderlichen Gewichtsanteilen (Mungobohnenkeimlinge, Pak Choi, Gemüsepaprika), Rindfleisch, Sojasoße (Sojabohnen, Weizen, Speisesalz), Rapsöl, modifizierte Stärke, Ingwer, Knoblauch, Zucker, rote Currypaste (rote Chilis, Zitronengras, Knoblauch, Zwiebeln, Speisesalz, Kaffir-Limettenschale, Galgant, Gewürze). ",490 Gramm,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,,,,,,TiefkühlproduktBei -18 °C oder niedriger lagern. Nach dem Auftauen nicht wieder einfrieren.,,,,,,,,,,,,
209,HOFMANNs Zarter Sauerbraten,"10,99€","Unser traditioneller Sauerbraten aus unserer eigenen Metzgerei, mit Apfelrotkohl und deftigen Kartoffelklößen mit Semmelbröseln. , Hofmann Menü-Manufaktur GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59462-hofmanns-hofmanns-zarter-sauerbraten/,https://bilder.kolonial.no/local_products/e122f30c-b43d-4968-8e5b-db24742a3715.jpg?auto=format&fit=max&w=1000&s=810f1b1b6359d8fa66b44b7e00585d05,1.17 g,5.97 g,,3.97 g,12 g,1 g,4 g,462 kJ / 110 kcal,"Hofmann Menü-Manufaktur GmbH, Adelbert-Hofmann-Straße 6, 97944 Boxberg, Deutschland",Deutschland,,"Rotkohl, Rindfleisch, Klößchenpulver (Kartoffeln, Stärke, jodiertes Speisesalz, modifizierte Stärke, Gewürze, Dextrose, Zucker, färbendes Gewürzextrakt), Hühnerei, Rapsöl, Äpfel, Zwiebeln, Wein-Branntweinessig, Zucker, Semmelbrösel (Weizenmehl, Hefe, Speisesalz), Tomatenmark, modifizierte Stärke, Apfelsaftkonzentrat, jodiertes Speisesalz, Weizenmehl, Gemüsefond (Gewürzextrakte, Tomatenmark, Gewürze, Trockenglucosesirup, Karottenextrakt, Tomatenpulver, Speisesalz, Branntweinessig), Stärke, Kräuter, Dextrose, Karamellzuckersirup, Gewürze (enthält Sellerie). ",560 Gramm,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,,,,,,TiefkühlproduktBei -18 °C oder niedriger lagern. Nach dem Auftauen nicht wieder einfrieren.,,,,,,,,,,,,
210,Tressbrüder Demeter Kartoffel-Creme-Suppe,"3,49€","Tress Brüder Bio Kartoffel Creme Suppe 450ml , Tress Lebensmittel GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/60103-tressbruder-tressbruder-demeter-kartoffel-creme-su/,https://bilder.kolonial.no/local_products/826cccb4-5200-43e8-a0ae-bc52bfe71731.jpg?auto=format&fit=max&w=707&s=47e13e530aa6ac006142caafe79d0963,0.81 g,1.30 g,1.30 g,1.60 g,11 g,0.20 g,1.40 g,262 kJ / 63 kcal,"Tress Lebensmittel GmbH & Co. KG, Steinhecke 1, 88529 Zwiefalten",Deutschland,,"Kartoffeln** (39 %), Wasser, Gemüse in veränderlichen Gewichtsanteilen 16 % (Karotten**, Lauch**, Pastinake**, Zwiebeln**), HAFERDRINKPULVER* [HAFERVOLLKORNMEHL*], Sonnenblumenöl**, Steinsalz, Kräuter*, Gewürze*, Knoblauchpulver*.
*) aus kontrolliert biologischem Anbau
**) aus kontrollierter Demeter-Landwirtschaft (prozentualer Demeter-Anteil 94 %)
Kann Spuren von Gluten, Schalenfrüchten, Erdnüssen, Sellerie, Senf und Soja enthalten. ",450 Milliliter,täglich,Schnelle Küche,Herzhafte Fertiggerichte,oda,,,Bio-Produkt,,,,"Erdnüsse, Sojabohnen, Nüssen, Sellerie, Senf.",,,,,,,,,,,
