,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Eigenschaften,Lieferant,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Hinweis,Kann Spuren enthalten von ,Frischegarantie (mindestens),Ursprungsregion,Lagerung,Natrium,Ursprungsland,Inverkehrbringer,Beschreibung,Size,Delivery days,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Schär anzeigen
315,Schwartau Extra Aprikose,"2,89€","Ohne Zusatz von Konservierungs-*, Farb-* und Aromastoffen.
*lt. Gesetz
vegan
Meistgekaufte Fruchtaufstrich-Marke - Quelle: AC Nielsen, nähere Informationen: www.schwartau.de
Trotz größter Sorgfalt können vereinzelt Obststeine enthalten sein.

Hergestellt aus 50g Früchten je 100g. , Schwartauer Werke hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46111-schwartau-schwartau-extra-aprikose/,https://bilder.kolonial.no/local_products/e94f5fec-1ac3-4b98-977a-af8f85d477de.jpg?auto=format&fit=max&w=704&s=bdc88fafb18bda4ee76272983a82a0cd,0.03 g,0.50 g,1.10 g,54.60 g,55.50 g,0 g,0.10 g,974 kJ / 229 kcal,,"Schwartauer Werke, Lübecker Str. 49-55, 23611 Bad Schwartau, Deutschland","Aprikosen, Zucker, Zitronensaftkonzentrat, Geliermittel Pektin.",340 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
316,La Comtesse Erdnusscreme Crunchy,"2,75€","Erdnusscreme crunchy , Dunekacke & Wilms Nachf. G.m.b.H. & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/51806-la-comtesse-la-comtesse-erdnusscreme-crunchy/,https://bilder.kolonial.no/local_products/513a907a-1459-4457-ad70-3e965af6330c.jpg?auto=format&fit=max&w=646&s=b68f0c7e438036229e0d4a69bb211bf4,0.70 g,23.70 g,6.40 g,8.60 g,18.20 g,7.80 g,47.10 g,2506 kJ / 604 kcal,,"Dunekacke & Wilms Nachf. G.m.b.H. & Co. KG, Hinschenfelder Stieg 12c, 22041 Hamburg","Geröstete ERDNÜSSE 89 %, Traubenzucker, Sonnenblumenöl, gehärtetes Palmfett, Salz







Dieses Produkt kann Spuren anderer NÜSSE enthalten. ",370 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,Nüssen.,,Niederlande,,,,,,,,
317,Schwartau Extra Erdbeer-Vanille,"2,69€","Ohne Zusatz von Konservierungs-*, Farb-* und Aromastof
fen. *lt. Gesetz
vegetarisch
glutenfrei* *lt. Gesetz
Meistgekaufte Fruchtaufstrich-Marke - Quelle: AC Nielsen, nähere Informationen: www.schwartau.de

Hergestellt aus 45g Früchten je 100g. , Schwartauer Werke hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45936-schwartau-schwartau-extra-erdbeer-vanille/,https://bilder.kolonial.no/local_products/10a911fd-0678-404b-b8b4-e8d2b324b9a6.jpg?auto=format&fit=max&w=633&s=159c33e8c7fdef2d27281012f1337296,0.03 g,0.40 g,1 g,53.90 g,54.30 g,0 g,0.20 g,954 kJ / 225 kcal,,"Schwartauer Werke, Lübecker Str. 49-55, 23611 Bad Schwartau, Deutschland","Zucker, Erdbeeren, Zitronensaftkonzentrat, Geliermittel Pektin, natürliches Bourbonvanille-Aroma (enthält
MILCHBESTANDTEILE). ",340 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
318,Bihophar Sonnenblumen-Honig,"5,49€","Sonnenblumen-Honig gilt als besondere Spezialität, denn die Sonnenblumen benötigen sehr viel Sonnenschein, Wärme und Feuchtigkeit, um genügend Blütennektar für den Honig bilden zu können. In großen Sonnenblumenfeldern sammeln die Bienen im Hochsommer den Nektar für diesen charakteristischen, kräftig-gelben Honig. , Fuersten-Reform GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46726-bihophar-bihophar-sonnenblumen-honig/,https://bilder.kolonial.no/local_products/22e3592d-38ec-442c-b6ef-f974375bcfa6.jpg?auto=format&fit=max&w=703&s=af1cbcc8fe271358e8f5f74a922def86,,,,,,,,,,"Fuersten-Reform GmbH & Co. KG, Am Salgenholz 2, 38110 Braunschweig, Deutschland",Honig,500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
319,bioz Erdnuss Mus,"3,99€","bioz-Erdnuss-Mus 250g , Bio-Zentrale GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50026-biozentrale-bioz-erdnuss-mus/,https://bilder.kolonial.no/local_products/97a53363-b27f-4034-9668-a0a6d7a1dc46.png?auto=format&fit=max&w=754&s=e7ae58b288bcf85a423f0b37ac6d8459,0.72 g,26 g,,4.70 g,7.60 g,11 g,49 g,2469 kJ / 590 kcal,Bio-Produkt,"Bio-Zentrale GmbH, Holzmühlenweg 4, 84384 Wittibreut, Ulbering, Deutschland","geröstete ERDNUSSkerne*, 0,7 % Meersalz. 
*aus kontrolliert-ökologischer Landwirtschaft ",250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,"Nüssen, Sesamsamen.",,Niederlande,,,,,,,,
320,Schwartau Extra Erdbeere Maxi-Glas,"3,99€","Ohne Zusatz von Konservierungs-*, Farb-* und Aromastoffen. 
*lt. Gesetz
vegan
Meistgekaufte Fruchtaufstrich-Marke - Quelle: AC Nielsen, nähere Informationen: www.schwartau.de

Hergestellt aus 50g Früchten je 100g. , Schwartauer Werke hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42170-schwartau-schwartau-extra-erdbeere-maxi-glas/,https://bilder.kolonial.no/local_products/e9fe46ee-d179-4951-b3c3-276b3585423a.jpg?auto=format&fit=max&w=630&s=fe31d71d70599d59ec83c92b451d6149,0.04 g,0.50 g,1.20 g,53.40 g,54.10 g,0 g,0.20 g,951 kJ / 224 kcal,,"Schwartauer Werke, Lübecker Str. 49-55, 23611 Bad Schwartau, Deutschland","Erdbeeren, Zucker, Zitronensaftkonzentrat, Geliermittel Pektin.",600 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
321,Bihophar Raps-Honig cremig,"5,49€","Der charakteristische Geschmack und Geruch dieses Honigs lässt den Duft der Rapsblüte wieder erwachen. Wegen seines milden Aromas und der angenehm cremigen Konsistenz wird der helle, fast weiße Honig gerne als Brotaufstrich verwendet. , Fuersten-Reform GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45915-bihophar-bihophar-raps-honig-cremig/,https://bilder.kolonial.no/local_products/f40bca56-83a1-4488-87ee-0dda558e0038.jpg?auto=format&fit=max&w=703&s=d18a16db2d748082bba88e5706065b87,,,,,,,,,,"Fuersten-Reform GmbH & Co. KG, Am Salgenholz 2, 38110 Braunschweig, Deutschland",Honig,500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
322,bioz Bio Tahin Sesammus,"3,49€","bioz-Tahin Sesammus 250g , Bio-Zentrale GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50037-biozentrale-bioz-bio-tahin-sesammus/,https://bilder.kolonial.no/local_products/c5ce283f-6565-4909-ac4a-5c4e6709e20b.png?auto=format&fit=max&w=678&s=4bee29cb2bf7f344f1056c0d5bcf7f4b,0.03 g,18 g,,0.30 g,12 g,7 g,50 g,2462 kJ / 588 kcal,Bio-Produkt,"Bio-Zentrale GmbH, Holzmühlenweg 4, 84384 Wittibreut, Ulbering, Deutschland","SESAM*, ungeschält. 
*aus kontrolliert ökologischer Landwirtschaft ",250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,"Erdnüsse, Nüssen.",,Niederlande,,,,,,,,
323,Bihophar Linden-Honig,"6,49€","Angelockt von dem intensiven Duft unzähliger Lindenblüten, sammeln die Bienen deren Nektar sowie den Honigtau der Lindenbaumblätter für diesen aromatischen Honig. Er ist von grünlich-gelber Farbe und hat einen ausgeprägten, an Minze erinnernden Geschmack. , Fuersten-Reform GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43598-bihophar-bihophar-linden-honig/,https://bilder.kolonial.no/local_products/3f50ec5f-4ddb-4932-bfb4-825def071181.jpg?auto=format&fit=max&w=703&s=4ea593b39e69a05c3f591aecfac7ef9c,,,,,,,,,,"Fuersten-Reform GmbH & Co. KG, Am Salgenholz 2, 38110 Braunschweig, Deutschland",Honig,500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
324,Schwartau Extra Erdbeere,"2,59€","Ohne Zusatz von Konservierungs-*, Farb-* und Aromastof
fen. *lt. Gesetz
vegan
Meistgekaufte Fruchtaufstrich-Marke - Quelle: AC Nielsen, nähere Informationen: www.schwartau.de

Hergestellt aus 50g Früchten je 100g. , Schwartauer Werke hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45159-schwartau-schwartau-extra-erdbeere/,https://bilder.kolonial.no/local_products/0224e684-f3ac-414e-85fb-df32e2828ac3.jpg?auto=format&fit=max&w=633&s=07e24594d937fb291a1d8cb2ec0c48b0,0.04 g,0.50 g,1.10 g,53.40 g,54.10 g,0 g,0.20 g,951 kJ / 224 kcal,,"Schwartauer Werke, Lübecker Str. 49-55, 23611 Bad Schwartau, Deutschland","Erdbeeren, Zucker, Zitronensaftkonzentrat, Geliermittel Pektin.",340 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
325,BIO COMPANY Bio Erdnussmus crunchy,"2,89€","Knusprig-cremiges Erdnussmus, mit Salz verfeinert und knusprigen Stückchen für den Crunch, eignet sich nicht nur hervorragend als Brotaufstrich. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52742-bio-company-bio-company-bio-erdnussmus-crunchy/,https://bilder.kolonial.no/local_products/f3242fbe-70e0-4e27-b969-75a2d0287a3f.jpg?auto=format&fit=max&w=450&s=33698d25bbeaff6a322ba8bb883cd3fb,0.81 g,29 g,6.90 g,3.80 g,9.10 g,,52 g,2627 kJ / 634 kcal,Bio-Produkt,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland","ERDNÜSSE* geröstet (99,2 %), Steinsalz ",250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,"Nüssen, Sesamsamen.",,,,,,,,,,
326,Bihophar Blüten-Akazien Honig flüssig,"7,99€","BIHOPHAR Blüten-Akazien-Honig 500g , Fuersten-Reform GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42820-bihophar-bihophar-bluten-akazien-honig-flussig/,https://bilder.kolonial.no/local_products/62161a55-5023-4a80-a7aa-71fcdfad50f3.jpg?auto=format&fit=max&w=703&s=81c6d8f837f82dcf2a108af7e4909a62,,,,,,,,,,"Fuersten-Reform GmbH & Co. KG, Am Salgenholz 2, 38110 Braunschweig, Deutschland",Honig,500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
327,Schwartau Extra Himbeer-Johannisbeer Gelee,"2,99€","Ohne Zusatz von Konservierungs-*, Farb-* und Aromastoffen. 
*lt. Gesetz
vegan
glutenfrei* und 
lactosefrei* *lt. Gesetz
Meistgekaufte Fruchtaufstrich-Marke - Quelle: AC Nielsen, nähere Informationen: www.schwartau.de

Hergestellt aus 50g Früchten je 100g. , Schwartauer Werke hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45150-schwartau-schwartau-extra-himbeer-johannisbeer-gel/,https://bilder.kolonial.no/local_products/b62fc31e-04a7-4cd7-b625-765fc4c56976.jpg?auto=format&fit=max&w=633&s=a535d7fa376ad587bf6c998cf4879597,0.03 g,0.40 g,0.30 g,58 g,58.10 g,0 g,0.10 g,1014 kJ / 239 kcal,,"Schwartauer Werke, Lübecker Str. 49-55, 23611 Bad Schwartau, Deutschland","Zucker, Fruchtsaft (roter Johannisbeersaft 32%, Himbeersaft 18%), Geliermittel Pektin, Zitronensaftkonzentrat.",340 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
328,BIO COMPANY Bio Erdnussmus,"2,89€","Mus aus 100 % Erdnüssen, aromatisch geröstet und fein vermahlen, als Brotaufstrich mit Marmelade oder zum verfeinern von Süßspeise, Saucen, Dips und herzhaften Gerichten für eine nussige Note. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52743-bio-company-bio-company-bio-erdnussmus/,https://bilder.kolonial.no/local_products/9dbdd7be-2188-42d5-8bee-cf5959da0568.jpg?auto=format&fit=max&w=450&s=b21c6b505eaa523c107a245ef2a361c8,0.01 g,29 g,6.90 g,3.80 g,9.10 g,,52 g,2627 kJ / 634 kcal,Bio-Produkt,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",ERDNÜSSE* geröstet ,250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,"Nüssen, Sesamsamen.",,,,,,,,,,
329,Bihophar Wabenquell Wild-Blüten-Honig,"4,99€","In unberührten Naturlandschaften, wo die artenreiche Wildblütenflora weitgehend erhalten ist, wird dieser Honig geerntet. Er hat einen ausgewogenen, gehaltvollen Geschmack. Ideal z.B. zum Süßen von Tee oder Müsli. , Fuersten-Reform GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44989-bihophar-bihophar-wabenquell-wild-bluten-honig/,https://bilder.kolonial.no/local_products/3399f68a-57a4-4af5-a614-14db2bbaa736.jpg?auto=format&fit=max&w=832&s=ce9b108b83d3f39cdaf8e3c9b78729a2,,,,,,,,,,"Fuersten-Reform GmbH & Co. KG, Am Salgenholz 2, 38110 Braunschweig, Deutschland",Honig,500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
330,Schwartau Extra Himbeeren,"2,99€","Ohne Zusatz von Konservierungs-*, Farb-* und Aromastoffen. 
*lt. Gesetz
vegan
glutenfrei* und 
lactosefrei* 
*lt. Gesetz
Meistgekaufte Fruchtaufstrich-Marke - Quelle: AC Nielsen, nähere Informationen: www.schwartau.de

Hergestellt aus 50g Früchten je 100g. , Schwartauer Werke hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47823-schwartau-schwartau-extra-himbeeren/,https://bilder.kolonial.no/local_products/65829138-8866-4909-8968-428b054fbf00.jpg?auto=format&fit=max&w=701&s=47826b43af1c202ef10abdeea97e1ae5,0.03 g,0.70 g,2.60 g,51.80 g,52.10 g,0 g,0.20 g,939 kJ / 221 kcal,,"Schwartauer Werke, Lübecker Str. 49-55, 23611 Bad Schwartau, Deutschland","Himbeeren, Zucker, Zitronensaftkonzentrat, Geliermittel Pektin.",340 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
331,BIO COMPANY Bio Cashewmus,"5,99€","Fein-süßlicher Geschmack und natürlich-nussiges Aroma. Aus schonend gerösteten und vermahlenen Cashewnüssen. Hervorragend als Brotaufstrich, oder zum Verfeinern von Soßen und Süßspeisen. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52792-bio-company-bio-company-bio-cashewmus/,https://bilder.kolonial.no/local_products/faa644ba-0bf2-466e-a240-08a852a416bd.jpg?auto=format&fit=max&w=1000&s=14455e027e264e2b94d7799c8a72c62e,0.02 g,22 g,8.30 g,0 g,15 g,,52 g,2595 kJ / 627 kcal,Bio-Produkt,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",CASHEWKERNE* geröstet ,250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,"Erdnüsse, Sesamsamen.",,Deutschland,,,,,,,,
332,Schwartau Extra 3-Beeren passiert,"2,89€","Ohne Zusatz von Konservierungs-*, Farb-* und Aromastoffen. *lt. Gesetz
vegan
glutenfrei* und lactosefrei* *lt. Gesetz
Meistgekaufte Fruchtaufstrich-Marke - Quelle: AC Nielsen, nähere Informationen: www.schwartau.de

Hergestellt aus 50g Früchten je 100g. , Schwartauer Werke hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44789-schwartau-schwartau-extra-3-beeren-passiert/,https://bilder.kolonial.no/local_products/530cc638-7dd0-40e0-9656-de54fd30933c.jpg?auto=format&fit=max&w=633&s=53d4fa94e3ac243701fcee0e0e4766fb,0.04 g,0.60 g,2.10 g,53.40 g,53.80 g,0 g,0.20 g,962 kJ / 227 kcal,,"Schwartauer Werke, Lübecker Str. 49-55, 23611 Bad Schwartau, Deutschland","Fruchtmischung (Himbeeren 25%, Erdbeeren 12,5%, Rote Johannisbeeren 12,5%), Zucker, Zitronensaftkonzentrat, Geliermittel Pektin.",340 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
333,Bihophar Imker-Honig cremig,"4,99€","Dreyer Waldhonig, kaltgeschleudert, herzhaft würzig Imkerkonig ist ein reines Naturprodukt. Gemäß deutscher Honigverordnung wird nichts entzogen und nichts hinzugesetzt. , Fürsten-Reform Nachf. GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/51803-bihophar-bihophar-imker-honig-cremig/,https://bilder.kolonial.no/local_products/aca6f26c-a612-4090-8d41-7479ea4a2ee2.jpg?auto=format&fit=max&w=709&s=e164425476d0baf2017a94cc407bd0aa,,,,,,,,,,"Fürsten-Reform Nachf. GmbH & Co. KG, Am Salgenholz 2, 38110 Braunschweig, Deutschland",Mischung von Honig aus EG-Ländern und Nicht-EG-Ländern. ,500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
334,"BIO COMPANY Bio Mandelmus, weiss","7,19€","Weißes Mandelmus aus blanchierten Mandeln für die kreative Küche, zum Verfeinern von Saucen, in Desserts, zum Backen und als Brotaufstrich hervorragend geeignet. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52610-bio-company-bio-company-bio-mandelmus-weiss/,https://bilder.kolonial.no/local_products/8b6a159f-5983-41f1-8a2a-8a07440768af.jpg?auto=format&fit=max&w=450&s=c22ec2d5fc32b0fd2025bcee03b4a2a8,0.05 g,24 g,5.40 g,3.40 g,6.60 g,,60 g,2783 kJ / 673 kcal,Bio-Produkt,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",blanchierte MANDELN* ,250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,"Erdnüsse, Sesamsamen.",,,,,,,,,,
335,Schwartau Extra Sauerkirsche,"2,59€","Ohne Zusatz von Konservierungs-*, Farb-* und Aromastoffen. 
*lt. Gesetz
vegan
glutenfrei* und 
lactosefrei* 
*lt. Gesetz
Meistgekaufte Fruchtaufstrich-Marke - Quelle: AC Nielsen, nähere Informationen: www.schwartau.de
Trotz größter Sorgfalt können vereinzelt Obststeine enthalten sein.

Hergestellt aus 50g Früchten je 100g. , Schwartauer Werke hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43157-schwartau-schwartau-extra-sauerkirsche/,https://bilder.kolonial.no/local_products/61a9684a-2563-40c1-a89c-1563fa9c26c1.jpg?auto=format&fit=max&w=704&s=09c2739a979dd7b12360c99a1619eecf,0.03 g,0.50 g,1 g,54.40 g,54.60 g,0.10 g,0.30 g,968 kJ / 228 kcal,,"Schwartauer Werke, Lübecker Str. 49-55, 23611 Bad Schwartau, Deutschland","Sauerkirschen, Zucker, Zitronensaftkonzentrat, Geliermittel Pektin.",340 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
336,Bihophar Thymian-Honig flüssig,"7,69€"," , Fürsten-Reform Nachf. GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/51804-bihophar-bihophar-thymian-honig-flussig/,https://bilder.kolonial.no/local_products/aef1a383-b499-4325-8d5f-bf14fcafe0de.jpg?auto=format&fit=max&w=704&s=ac2fb24cef0987e2555714bd6cdaf9ca,,,,,,,,,,"Fürsten-Reform Nachf. GmbH & Co. KG, Am Salgenholz 2, 38110 Braunschweig, Deutschland",Honig.,500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
337,"BIO COMPANY Bio Mandelmus, braun","6,49€","Mandelmus aus europäischen, gerösteten Mandeln - der intensiv-aromatischer Geschmack verfeinert Saucen, Gemüsegerichte, Dressings und eignet sich hervorragend als Brotaufstrich. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52611-bio-company-bio-company-bio-mandelmus-braun/,https://bilder.kolonial.no/local_products/760265fe-4293-4ccb-8a83-261196b2ac87.jpg?auto=format&fit=max&w=450&s=58b665cd9dad47eb6d9a9f5c94b523e8,0.01 g,23 g,8.50 g,3.50 g,12 g,,53 g,2622 kJ / 634 kcal,Bio-Produkt,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",MANDELN* geröstet ,250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,"Erdnüsse, Sesamsamen.",,,,,,,,,,
338,Schwartau Extra Schwarzkirsche,"2,69€","Ohne Zusatz von Konservierungs-*, Farb-* und Aromastoffen. 
*lt. Gesetz
vegan
glutenfrei* und laktosefrei*
*lt. Gesetz
Meistgekaufte Fruchtaufstrich-Marke - Quelle: AC Nielsen, nähere Informationen: www.schwartau.de
Trotz größter Sorgfalt können vereinzelt Obststeine enthalten sein.

Hergestellt aus 50g Früchten je 100g. , Schwartauer Werke hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47865-schwartau-schwartau-extra-schwarzkirsche/,https://bilder.kolonial.no/local_products/425db189-d240-4a51-a9d0-a1ec50e52566.jpg?auto=format&fit=max&w=633&s=da7f3cbba77ae097eaf4ebf1d10f0b76,0.03 g,0.50 g,1 g,54.10 g,54.90 g,0 g,0.20 g,964 kJ / 227 kcal,,"Schwartauer Werke, Lübecker Str. 49-55, 23611 Bad Schwartau, Deutschland","Zucker, Schwarzkirschen 43%, Schlehensaft 7%, Zitronensaftkonzentrat, Geliermittel Pektin.",340 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
339,"BIO COMPANY Bio Tahin, weiss","3,49€","Aus 100 % geschältem und sanft geröstetem Sesam, eignet sich hervorragend als Salatdressing mit Zitrone oder als wesentliche Zutat in Hummus, schmackhaft auch als Brotaufstrich mit Honig. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52492-bio-company-bio-company-bio-tahin-weiss/,https://bilder.kolonial.no/local_products/eb4aa0a3-911c-4f67-9233-8053c543830a.jpg?auto=format&fit=max&w=450&s=dae0bf8a854e6cd79825fa885b61bdf7,0.01 g,22 g,12 g,0.60 g,5.60 g,,57 g,2673 kJ / 647 kcal,Bio-Produkt,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",SESAM* geschält und geröstet ,250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,"Erdnüsse, Nüssen.",,,,,,,,,,
340,BIO COMPANY Bio Süßkleehonig,"4,49€","Nicht zu süßer, erfrischender Süßkleehonig aus dem süditalienischen Kampanien. Dank seines subtilen Aromas kann er zum Süßen von Tee, Kaffee und Desserts verwendet werden. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52495-bio-company-bio-company-bio-susskleehonig/,https://bilder.kolonial.no/local_products/0cc8c33b-cad2-4364-be26-bc15dfad4c72.jpg?auto=format&fit=max&w=450&s=c5c237cba47b48d890a41a8cb2352940,0.03 g,0.30 g,0 g,83 g,83 g,,0.10 g,1408 kJ / 331 kcal,Bio-Produkt,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",Süßkleehonig*,250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,,,,,,,,,
341,"BIO COMPANY Bio Tahin, braun","2,99€","Aus 100 % ungeschältem und sanft geröstetem Sesam, eignet sich hervorragend als Salatdressing mit Zitrone oder als wesentliche Zutat in Hummus, schmackhaft auch als Brotaufstrich mit Honig. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52493-bio-company-bio-company-bio-tahin-braun/,https://bilder.kolonial.no/local_products/040e598e-074a-4095-abe7-9706c6319632.jpg?auto=format&fit=max&w=450&s=0f9eba569af16a8487a9516b15fbda4e,0.01 g,26 g,7.90 g,0.70 g,4.10 g,,58 g,2721 kJ / 658 kcal,Bio-Produkt,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",SESAM* geröstet ,250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,"Erdnüsse, Nüssen.",,,,,,,,,,
342,BIO COMPANY Bio Blütenhonig,"5,29€","Zart-cremiger Blütenhonig mit blumig-aromatischem Geschmack, streichzart eignet er sich hervorragend als Brotaufstrich, aber auch zum Süßen oder Backen. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52813-bio-company-bio-company-bio-blutenhonig/,https://bilder.kolonial.no/local_products/fb05afb8-a868-4528-b808-18ac5cf63190.jpg?auto=format&fit=max&w=450&s=90e9436a7e863a554df0090b69c96347,0 g,0.40 g,,75.10 g,75.10 g,,0.10 g,1283 kJ / 302 kcal,Bio-Produkt,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",Blütenhonig*,500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,,,,,,,,,
343,Schwartau Extra Waldfrucht,"2,89€","Ohne Zusatz von Konservierungs-*, Farb-* und Aromastoffen. *lt. Gesetz
vegan
glutenfrei* und lactosefrei* 
*lt. Gesetz
Meistgekaufte Fruchtaufstrich-Marke - Quelle: AC Nielsen, nähere Informationen: www.schwartau.de

Hergestellt aus 50g Früchten je 100g. , Schwartauer Werke hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52861-schwartau-schwartau-extra-waldfrucht/,https://bilder.kolonial.no/local_products/7b9a0403-0a18-4a35-aefa-5789aa1a3302.jpg?auto=format&fit=max&w=701&s=a0c40688273bd39e2587112aab61f724,0.03 g,0.50 g,2.50 g,52.70 g,52.90 g,0 g,0.30 g,947 kJ / 223 kcal,,"Schwartauer Werke, Lübecker Str. 49-55, 23611 Bad Schwartau, Deutschland","Fruchtmischung (Boysenbeeren, Himbeeren, Brombeeren, Heidelbeeren), Zucker, Zitronensaftkonzentrat,
Geliermittel Pektin.",340 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brotaufstriche,oda,,,,Deutschland,,,,,,,,
