,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsland,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Frischegarantie (mindestens),PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Eigenschaften,Ursprungsregion,Ballaststoffe,Lagerung,Kann Spuren enthalten von ,Abtropfgewicht,Variables Gewicht,Beschreibung,Inverkehrbringer,Hinweis,mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Besonderheiten,Gewichtsklasse,Güteklasse,Größe,Handelsklasse,Size,Delivery days,Freshness guarantee,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Alpro anzeigen,Natrium,Pfand
326,Kerrygold Burger Cheddar Scheiben,"3,29€","Der aus bester, irischer Weidemilch hergestellte Burger Cheddar steht für Qualität, Natürlichkeit und Vielseitigkeit. Dank seiner Reifezeit von typischerweise 6 Monaten, seines herzhaften Geschmacks und idealen Schmelzeigenschaften eignet sich der Kerrygold Burger Cheddar mit seinen extra dicken Scheiben ideal für das allseits beliebte Barbecue. Der Burger Cheddar wird ohne künstliche Zusatzstoffe hergestellt, ist von Natur aus laktosefrei und somit auch für Vegetarier geeignet. Ursprünglich weist Cheddar eine gelbe Grundfarbe auf. Seine auffallende Färbung bekommt er durch Zugabe des Pflanzenfarbstoffs Beta-Carotin. , Ornua Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43832-kerrygold-kerrygold-burger-cheddar-scheiben/,https://bilder.kolonial.no/local_products/5bbf6d20-39e6-4b63-bd84-f3ff4b5ccf6e.jpg?auto=format&fit=max&w=667&s=8432c3bfbbfade5ae664dbbabccaf6f5,1.90 g,26 g,0 g,0 g,32 g,32 g,1626 kJ / 389 kcal,"Ornua Deutschland GmbH, Kerrygoldstr. 1, DE-47506, Neukirchen-Vluyn",,"Pasteurisierte KUHMILCH, Salz, Reifungskulturen, mikrobieller Labaustauschstoff, Farbstoff Beta-Carotin (E160a(iii)) ",150 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,Irland,,,,,,,,,,,,,,,,,,,,,
327,Alpenhain Back-Camembert Classic,"3,49€","Unser Back-Camembert Classic in Knusperkruste vorgebacken,  aus Camembert, mit Wildpreiselbeeren. 200 g-Packung = 2 Stück Back-Camembert Classic à 75 g + 2 Portionen Preiselbeeren à 25 g , Alpenhain Kasespezialitaten GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45094-alpenhain-alpenhain-back-camembert-classic/,https://bilder.kolonial.no/local_products/0a998f1e-fa7e-40f1-bb1a-cfb6e883f4fe.jpg?auto=format&fit=max&w=899&s=1e7593d089cf2631a3f701d2fdbd8899,1.40 g,12 g,11 g,21 g,7.40 g,17 g,1196 kJ / 287 kcal,"Alpenhain Kasespezialitaten GmbH, Lehen, D-83539 Pfaffing/Oberbayern, Deutschland",,"Back-Camembert: 66 % CAMEMBERT; Mehl (WEIZEN); Sonnenblumenöl; Salz; Gewürze
Wildpreiselbeeren: 48 % Wildpreiselbeeren; Zucker; Glukose-Fructose-Sirup; Geliermittel: Pektine;
Verdickungsmittel: Johannisbrotkernmehl, Xanthan; Säuerungsmittel: Citronensäure. ",200 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,Deutschland,,,,,,,,,,,,,,,,,,,,,
328,Buko mit Skyr 30% Fett i.Tr,"2,19€","Der neue Buko mit Skyr ist der neue Frischkäse für alle, die sich bewusster ernähren wollen – und nebenbei der erste Brotaufstrich mit Skyr überhaupt! So proteinreich, natürlich und cremig, dass er sich auch bestens zum Kochen und Backen eignet, zum Beispiel als Alternative zu Sahne oder Créme Fraiche. , Arla Foods Inc. hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50650-arla-buko-mit-skyr-30-fett-i-tr/,https://bilder.kolonial.no/local_products/faa524d9-8c61-482f-9fde-a5f2dc5e701d.jpg?auto=format&fit=max&w=1000&s=09c33b30782c099585381bc0bc2dcb6e,0.70 g,10 g,3.60 g,3.60 g,9 g,9 g,578 kJ / 138 kcal,"Arla Foods Inc., Wahlerstraße 2, 40472 Düsseldorf, Deutschland",,"Frischkäse (BUTTERMILCH*, SAHNE*, MILCHEIWEIß, Milchsäurekulturen*), 15% Frischkäse** (MAGERMILCH*, mikrobielles Lab, Milchsäurekulturen*), Speisesalz. *enthält Skyr. **Skyr. ",200 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,Dänemark,,,,,,,,,,,,,,,,,,,,,
329,Kerrygold Cheddar mit Chili,"2,95€","Der herzhaft-scharfe Cheddar mit Chili wird aus pasteurisierter, irischer Weidemilch und ohne künstliche Zusatzstoffe hergestellt. Er reift typischerweise 6 Monate, ist von Natur aus laktosefrei und auch für Vegetarier geeignet. Die Schärfe des Chilis gibt dem Käse eine besondere Note und entfaltet seinen vollen Geschmack am besten pur bei einem Glas Wein, auf einem rustikalen Brot oder auch auf Burgern ist unser Cheddar mit Chili ein Genuss. , Ornua Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42207-kerrygold-kerrygold-cheddar-mit-chili/,https://bilder.kolonial.no/local_products/292cfc95-c9b4-4f4e-a000-690413b40727.jpg?auto=format&fit=max&w=953&s=4eb4f5dcaae653df902601a792a5cead,1.90 g,26 g,0 g,0 g,32 g,32 g,1626 kJ / 389 kcal,"Ornua Deutschland GmbH, Kerrygoldstr. 1, DE-47506, Neukirchen-Vluyn",,"Pasteurisierte KUHMILCH, Salz, roter Chili, Reifungskulturen, Labaustauschstoff, Farbstoff Beta-Carotin (E160a(iii)) ",125 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,Irland,,,,,,,,,,,,,,,,,,,,,
330,Buko Pikante Kräuter 16% Fett absolut,"2,19€","Für alle Frischkäse-Genießer, die den würzig-frischen Geschmack von roter Paprika und Kräutern mögen, ist der Arla Buko® Pikante Kräuter Balance ein Muss in jedem Kühlschrank. Der volle Geschmack trotz reduziertem Fettgehalt verleiht jedem Gericht, aber auch jedem Brot die besondere Würze. , Arla Foods Inc. hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47699-arla-buko-pikante-krauter-16-fett-absolut/,https://bilder.kolonial.no/local_products/4f7d8189-a1d5-4f9e-872e-a460c448c841.jpg?auto=format&fit=max&w=1000&s=0fd04d96ed59eceb583ed14723b59c78,0.90 g,7.70 g,3.30 g,3.30 g,16 g,16 g,784 kJ / 187 kcal,"Arla Foods Inc., Wahlerstraße 2, 40472 Düsseldorf, Deutschland",,"Frischkäse (BUTTERMILCH, SAHNE, Milchsäurekulturen), Speisesalz, Zwiebelgranulat, Paprikagranulat, Dill, Knoblauchextrakt, Basilikum. ",200 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,Dänemark,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,,,,,,,,
331,Minus-L Mascarpone,"3,89€","Minus L Mascarpone 250g , OBM OMIRA Bodenseemilch GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/55233-minus-l-minus-l-mascarpone/,https://bilder.kolonial.no/local_products/7a548481-870d-4f08-a89b-08050d7b8cd0.jpg?auto=format&fit=max&w=1000&s=253a82fcc366ac8f5ad357e5eb5083e0,0.06 g,3.70 g,1.90 g,3.30 g,28 g,41 g,1636 kJ / 397 kcal,"OBM OMIRA Bodenseemilch GmbH, Jahnstraße 10, 88214 Ravensburg, Deutschland",Italien,"SAHNE, MILCH, Laktase, Säureregulator: Citronensäure ",250 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,,0 g,,,,,,,,,,,,,,,,,,,,
332,Arla Buko Der Sahnige 200g Ohne Gentechnik,"2,19€","Arla Buko® der Sahnige aus 100% natürlichen Zutaten ist jetzt cremiger denn je. Unendlich cremiger Genuss für unzählige Ideen: Ob als Sauce, in der Torte, zum Snack, im Auflauf oder pur - Arla Buko® überzeugt immer mit Bravour! , Arla Foods Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44403-arla-arla-buko-der-sahnige-200g-ohne-gentechnik/,https://bilder.kolonial.no/local_products/3a23aceb-32a1-4264-89aa-ffa1ca26ac2a.jpg?auto=format&fit=max&w=1000&s=56a2e23a5919677fcd9822822432d741,0.80 g,5.50 g,4.20 g,4.20 g,14 g,23 g,1003 kJ / 240 kcal,"Arla Foods Deutschland GmbH, Wahlerstraße 2, 40470, Düsseldorf",,"Frischkäse (SAHNE, MAGERMILCH, Milchsäurekulturen), Speisesalz. ",200 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,Dänemark,,,,,,,,,,,,,,,,,,,,,
333,Kerrygold Cheddar Vintage 32% Fett absolut,"2,95€","Original irischer Vintage Cheddar, mindestens 12 Monate gereift. Kräftig im Geschmack. , Ornua Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52229-kerrygold-kerrygold-cheddar-vintage-32-fett-absolu/,https://bilder.kolonial.no/local_products/676e8827-c140-4448-8f29-1c11f91b919b.jpg?auto=format&fit=max&w=667&s=ec539dd8dcb4de07128d389ca78994c5,1.90 g,26 g,0 g,0 g,32 g,32 g,1626 kJ / 389 kcal,"Ornua Deutschland GmbH, Kerrygoldstr. 1, DE-47506, Neukirchen-Vluyn",Irland,"Pasteurisierte KUHMILCH, Salz, Reifungskulturen, mikrobieller Labaustauschstoff. ",125 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,,,,,,,,,,,,,,,,,,,,,,
334,Bedda Come on Bert,"3,49€","bedda Come on Bert, 125 g , ethiconomy services GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/55248-bedda-bedda-come-on-bert/,https://bilder.kolonial.no/local_products/18b20bd5-3ff0-46ad-848f-79e1f88eaca0.jpg?auto=format&fit=max&w=1000&s=2689384597957f04d887397eee345e69,1.80 g,1.40 g,1.30 g,12 g,1.70 g,24 g,1107 kJ / 268 kcal,"ethiconomy services GmbH, Brandshofer Deich 68, D-20539 Hamburg, Deutschland",,"Wasser, 18% Rapsöl, Kartoffelstärke, Salz, Kartoffelprotein, Zucker, Aroma, Farbstoff: Beta-Carotin; Edelschimmel.",125 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,Deutschland,,,,,,,,,,,,,,,,,,,,,
335,Kerrygold Cheddar mild-würzig,"2,99€","Der würzige Cheddar wird aus pasteurisierter, irischer Weidemilch und ohne künstliche Zusatzstoffe hergestellt. Er reift typischerweise 4 Monate, ist von Natur aus laktosefrei und auch für Vegetarier geeignet. Er entfaltet seinen vollen Geschmack am besten pur zu einem Glas Wein, auf einem rustikalen Brot oder auch auf Burgern ist Cheddar ein Genuss. Hergestellt aus Kuhmilch, enthält Käse die wertvollen Inhaltsstoffe der Milch in konzentrierter Form.  Zudem gehört lang gereifter Käse zu den besten Protein- und Aminosäure-Lieferanten und enthält diese „Lebensbausteine“ überwiegend in leicht verdaulicher Form. Schnell schön angerichtet und schnell wieder weggeräumt: Die besondere Verpackung ist handlich und praktisch. Auf der Rückseite der Packung befindet sich die Öffnung. Mit dem Klebeetikett können Sie diese leicht öffnen und wieder luftdicht verschließen. Dadurch bleibt der Käse länger frisch. , Ornua Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44956-kerrygold-kerrygold-cheddar-mild-wurzig/,https://bilder.kolonial.no/local_products/721e9280-aac2-4187-b516-1e78faea70c7.jpg?auto=format&fit=max&w=667&s=884338bf7467265742198f6ed9f7db4d,1.90 g,26 g,0 g,0 g,32 g,32 g,1626 kJ / 389 kcal,"Ornua Deutschland GmbH, Kerrygoldstr. 1, DE-47506, Neukirchen-Vluyn",,"Pasteurisierte KUHMILCH, Salz, Reifungskulturen, mikrobieller Labaustauschstoff. ",150 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,Irland,,,,,,,,,,,,,,,,,,,,,
336,Buko India Frischkäse 17% absolut,"2,19€","Diese exotische Buko-Variante sorgt für phantasievolle Abwechslung in der Küche! Die einzigartige Rezeptur der Frischkäse-Köstlichkeit kombiniert raffiniert bewährte Buko-Qualität mit indisch-orientalischem Geschmack. Curry, Papaya, Schwarzkümmel-Samen, Kurkuma und Chili sorgen für das gewisse Etwas und bieten ein ganz besonderes Geschmacks-Erlebnis. Mit einem Fettgehalt von 16% absolut kommen auch diejenigen, die sich (figur)bewusst ernähren möchten, jederzeit voll auf ihre Kosten! Ohne Verdickungsmittel, Konservierungsstoffe und Geschmacksverstärker. , Arla Foods Inc. hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50678-arla-buko-india-frischkase-17-absolut/,https://bilder.kolonial.no/local_products/dbbd1d82-63a9-497e-b726-984a9e00ef4d.jpg?auto=format&fit=max&w=1000&s=3a943086a5d3f6234f94c9875a54f5c5,1.10 g,6.90 g,7.70 g,7.70 g,16 g,16 g,861 kJ / 206 kcal,"Arla Foods Inc., Wahlerstraße 2, 40472 Düsseldorf, Deutschland",,"FRISCHKÄSE, 5,7% kandierte Papaya (70% Papaya, Zucker), Speisesalz, Schwarzkümmelsamen, Gewürze, Kräuter, Chilipulver, Kurkuma. ",200 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,Dänemark,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,,,,,,,,
337,Frico Gouda mittelalt in Scheiben 48% FiTr,"2,19€","Frico - der beliebteste Marken-Gouda Deutschlands. Garantiert aus 100% hollländischer Milch, in den Niederlanden traditionell 16 Wochen in der Rinde naturgereift und ausgezeichnet mit dem EU-Siegel Geschützte geografische Angabe für Gouda Holland. Ohne Konservierungsstoffe und durch natürliche Reifung laktosefrei. , Friesland Campina Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43843-frico-frico-gouda-mittelalt-in-scheiben-48-fitr/,https://bilder.kolonial.no/local_products/cdb48bd2-25cd-4ba7-a2f7-f1d1d9130116.jpg?auto=format&fit=max&w=706&s=63fb1ee3e36de8f41810915e37d779c0,1.80 g,25 g,,,33 g,33 g,1661 kJ / 397 kcal,"Friesland Campina Germany GmbH, Wimpfener Str. 125, 74078 Heilbronn, Deutschland",,"Pasteurisierte KUHMILCH, Speisesalz, Käsereikulturen, tierisches Lab, Farbstoff Carotin. Unter Schutzatmosphäre verpackt. ",150 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,Deutschland,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,,,,,,,,
338,Buko des Jahres gerösterter Knoblauch m.Thymian,"2,19€","Wer das Besondere liebt, dem wird unser Arla Buko® des Jahres „Gerösteter Knoblauch mit Thymian“ ganz besonders gefallen. Denn mit seinen aromatischen Knoblauch- und Thymianstücken sorgt er nicht nur beim Grillen für das gewisse Etwas. , Arla Foods Inc. hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50632-arla-buko-des-jahres-gerosterter-knoblauch-m-thymi/,https://bilder.kolonial.no/local_products/9718cde6-6448-48bc-9a32-04f68ce9790c.jpg?auto=format&fit=max&w=1000&s=8fab4354063c462d896690557e2ef414,1 g,7.20 g,4.10 g,4.10 g,15 g,15 g,738 kJ / 176 kcal,"Arla Foods Inc., Wahlerstraße 2, 40472 Düsseldorf, Deutschland",,"FRISCHKÄSE, Wasser, 1,5% gerösteter Knoblauch, 0,9% Thymian, Speisesalz, Zitronensaftkonzentrat. ",200 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,Dänemark,,,,,,,,,,,,,,,,,,,,,
339,Frico Gouda jung Portionen 48% FiTr,"4,49€","Frico Gouda ist ein original holländischer Gouda mit geschützter geografischer Angabe (g.g.A.) und ist eine sehr beliebte Käsesorte. Durch seinen milchen, cremigen Geschmack ist er ideal als Brotbelag, für Salate und kalte Gerichte. , Friesland Campina Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43911-frico-frico-gouda-jung-portionen-48-fitr/,https://bilder.kolonial.no/local_products/325ab02e-7352-4a42-9d1e-ef25c7ec58de.jpg?auto=format&fit=max&w=1000&s=a4123d613157030a0148e0ada94a0d71,1.60 g,24 g,,,31 g,31 g,1570 kJ / 375 kcal,"Friesland Campina Germany GmbH, Wimpfener Str. 125, 74078 Heilbronn, Deutschland",,"Pasteurisierte KUHMILCH, Speisesalz, Käsereikulturen, mikrobielles Lab, Farbstoff Carotin, Konservierungsstoff Natamycin (im Kunststoffüberzug). Laktosegehalt ",375 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,Deutschland,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,,,,,,,,
340,Frico Gouda mittelalt Portionen 48% FiTr,"4,49€","Aus 100% holländischer Milch. Herzhaft-pikant im Geschmack. Frico Gouda Holland reift in der Rinde und wird traditionell auf Holzregalen gelagert. , FrieslandCampina Germany GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46186-frico-frico-gouda-mittelalt-portionen-48-fitr/,https://bilder.kolonial.no/local_products/f3213190-496b-47c1-805e-d3382c8cfe3e.jpg?auto=format&fit=max&w=882&s=f3c45254e0e409610092ff738c71ed15,1.70 g,25 g,,,23 g,33 g,1661 kJ / 397 kcal,"FrieslandCampina Germany GmbH, Wimpfener Straße 125, 74078, Heilbronn",,"Pasteurisierte KUHMILCH, Speisesalz, Käsereikulturen, mikrobielles Lab, Farbstoff Carotin, Konservierungsstoff Natamycin (im Kunststoffüberzug). ",325 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,Niederlande,,,,,,,,,,,,,,,,,,,,,
341,Bresso 100% pflanzlich Knoblauch & Kräuter,"2,29€","BRESSO 100% PFLANZLICH auf Mandelbasis mit Knoblauch und Kräuter , FROMAGERIE DE VIHIERS hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/55245-bresso-bresso-100-pflanzlich-knoblauch-krauter/,https://bilder.kolonial.no/local_products/19e3d8d2-ed36-4937-a55d-0048958c5a30.jpg?auto=format&fit=max&w=1000&s=7e661164fb7cb7443684121385befdfc,1.10 g,4.60 g,1.10 g,7.40 g,1.70 g,19 g,939 kJ / 227 kcal,FROMAGERIE DE VIHIERS,Frankreich,"65% MANDELERZEUGNIS (Wasser, 16%* MANDELPÜREE), Wasser, Rapsöl, Inulin, Kartoffelstärke, Knoblauch, Kräuter, Zitronensaftkonzentrat, Speisesalz, Pfeffer, natürliche Aromen, Stickstoff zum Aufschlagen. *bezogen auf das Enderzeugnis. Kann Spuren von Milch und weiteren Schalenfrüchten enthalten. ",140 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,,4 g,,Milch.,,,,,,,,,,,,,,,,,,
342,Bresso Frischkäse Leichtgenuss Kräuter,"2,29€","OHNE GENTECHNIK * BRESSO. BESTE ZUTATEN IN LUFTIG-LOCKEREN FRISCHKÄSE! *gemäß des deutschen EG-Gentechnik-Durchführungsgesetzes.

32% Fett i.Tr. , EDELWEISS GMBH & CO KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52219-bresso-bresso-frischkase-leichtgenuss-krauter/,https://bilder.kolonial.no/local_products/124a301c-7ef1-44c1-adbe-e71fbad48586.jpg?auto=format&fit=max&w=1000&s=02c2b9d2e9996b1244b05544a9f4ed04,1 g,9.40 g,3.10 g,4.90 g,5.30 g,8 g,539 kJ / 129 kcal,"EDELWEISS GMBH & CO KG, D-87435 Kempten, Deutschland",Deutschland,"FRISCHKÄSE, BUTTER, Kräuter, Stärke, Knoblauch, Zwiebeln, Pfeffer, Speisesalz, Stickstoff zum Aufschlagen. ",150 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,,,,,,,,,,,,,,,,,,,,,,
343,Jeden Tag Gouda Scheiben 48% Fett i.Tr,"3,49€","Käsescheiben mit 48% Fett i. Tr. , A-ware Packaging BV hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43006-jeden-tag-jeden-tag-gouda-scheiben-48-fett-i-tr/,https://bilder.kolonial.no/local_products/ab9c5f46-3bca-4857-a6e6-6b16094dcd96.jpg?auto=format&fit=max&w=667&s=eb23ffbce1e754d0a1c91e6ef60fca64,2 g,23 g,,,28 g,28 g,1427 kJ / 341 kcal,"A-ware Packaging BV, Royal A-ware, Catharijne 1, 1358 CC Almere, Niederlande",,"Pasteurisierte KUHMILCH, Salz, Starterkultur, Mikrobieller Labaustauschstoff. Unter Schutzatmosphäre verpackt. ",400 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,,,,,,,,,,,,,,,,,,,,,,
344,Bresso Pfeffer Frischkäsezub.60% Fitr.,"2,29€","BRESSO steht für unbeschwerten Frischkäse-Genuss & provenzalisch-mediterrane Lebensweise. 
Die hohe Qualität der vielfältigen Zutaten kombiniert mit locker aufgeschlagenem Frischkäse machen unseren BRESSO so besonders.
Erleben Sie die facetten-reiche Schärfe grünen Pfeffers, die diese Frischkäse-Spezialität so besonders macht.
BRESSO. BESTE ZUTATEN IN LUFTIG-LOCKEREN FRISCHKÄSE.
OHNE GENTECHNIK, gemäß dem deutschen EG-Gentechnik-Durchführungsgesetz.

62% Fett i.Tr./F.i.T. , EDELWEISS GMBH & CO KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52218-bresso-bresso-pfeffer-frischkasezub-60-fitr/,https://bilder.kolonial.no/local_products/3e7899ca-5a96-4675-9d62-14eda9ac9b74.jpg?auto=format&fit=max&w=1000&s=098b6bf995f8dedc40dfc2ce93871b73,1.20 g,7 g,3.10 g,4.30 g,14 g,21 g,969 kJ / 234 kcal,"EDELWEISS GMBH & CO KG, D-87435 Kempten, Deutschland",Deutschland,"FRISCHKÄSE, CREME FRAÎCHE, BUTTER, grüner Pfeffer (2,2%), Stärke, Speisesalz, Branntweinessig (A: Weingeistessig), Stickstoff zum Aufschlagen. ",1 Stück,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,,,,,,,,,,,,,,,,,,,,,,
345,Jeden Tag Käseaufschnitt 40-45% FiTr,"2,49€","4 Scheiben Edamer, 40% Fett i. Tr. - 2 Scheiben Tilsiter, 45% Fett i.Tr. - 1 Scheibe Emmentaler, 45% Fett i. Tr. , DMK Deutsches Milchkontor GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45051-jeden-tag-jeden-tag-kaseaufschnitt-40-45-fitr/,https://bilder.kolonial.no/local_products/1ec8b7f6-d5cf-47d2-890c-4ac23e7c3570.jpg?auto=format&fit=max&w=725&s=1408e41a10fc4b55894906bdb7efe0be,1.80 g,25 g,,,25 g,25 g,1371 kJ / 328 kcal,"DMK Deutsches Milchkontor GmbH, 27400 Zeven, Deutschland",,"Pasteurisierte KUHMILCH, Speisesalz, Säuerungskulturen, mikrobielles Lab. Unter Schutzatmosphäre verpackt. ",250 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,,,,,,,,,,,,,,,,,,,,,,
346,Bresso Frischkäse Wildkräuter,"2,29€","OHNE GENTECHNIK * BRESSO. BESTE ZUTATEN IN LUFTIG-LOCKEREN FRISCHKÄSE! *gemäß des deutschen EG-Gentechnik-Durchführungsgesetzes.

57% Fett i.Tr. , EDELWEISS GMBH & CO KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50681-bresso-bresso-frischkase-wildkrauter/,https://bilder.kolonial.no/local_products/90cbdb33-ffad-4c43-88db-f4306defd1db.jpg?auto=format&fit=max&w=1000&s=d92a0eb64aa16bbfd9278562a39f92a8,1.20 g,6.50 g,2.80 g,4 g,12 g,18 g,845 kJ / 204 kcal,"EDELWEISS GMBH & CO KG, D-87435 Kempten, Deutschland",Deutschland,"FRISCHKÄSE, CRÈME FRAÎCHE, BUTTER, Rosmarin, Thymian, Schnittlauch, Zwiebeln, Knoblauch, Gewürze, Stärke, Speisesalz, Stickstoff zum Aufschlagen. ",150 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,,,,,,,,
347,Jeden Tag Gouda Holland mittelalt 48% Fett i.Tr,"4,49€","Holländischer Gouda, mittelalt. Mindestens 4 Monate gereift. , A-ware Packaging BV hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45682-jeden-tag-jeden-tag-gouda-holland-mittelalt-48-fet/,https://bilder.kolonial.no/local_products/ca714d6c-a55f-4fc1-82c5-e179ac36b32b.jpg?auto=format&fit=max&w=940&s=7eedebe418e5d86edd2e62e4891c860b,2 g,24 g,0 g,0 g,32 g,32 g,1592 kJ / 380 kcal,"A-ware Packaging BV, Royal A-ware, Catharijne 1, 1358 CC Almere, Niederlande",,"Pasteurisierte KUHMILCH, Salz, Starterkultur, mikrobiellner Labaustauschstoff, Konservierungsstoff: Natamycin (im Rindenanteil). ",450 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,,,,,,,,,,,,,,,,,,,,,,
348,Jeden Tag Edamer Käsescheiben 40% FiTr,"3,49€","Edamer Käsescheiben, fein-zart. , A-ware Packaging BV hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45072-jeden-tag-jeden-tag-edamer-kasescheiben-40-fitr/,https://bilder.kolonial.no/local_products/98086f0b-3c11-4f11-bd23-daa66cdb4bc9.jpg?auto=format&fit=max&w=656&s=48a2b1b98e6b8d8f346f8ad13563cb6b,1.80 g,25 g,,,23 g,23 g,1297 kJ / 310 kcal,"A-ware Packaging BV, Royal A-ware, Catharijne 1, 1358 CC Almere, Niederlande",,"Pasteurisierte KUHMILCH, Speisesalz, Säuerungskulturen, mikrobielles Lab. Unter Schutzatmosphäre verpackt. ",400 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käse & Käsealternativen,oda,,,,,,,,,,,,,,,,,,,,,,,
