,Title,Subtitle,Link
77,EGG-XTRA COST,I compared regular and large Easter eggs - check the worst 'rip-offs' in 2023,https://www.thesun.co.uk/money/21937066/medium-large-easter-eggs-comparison/
78,LISTEN UP,"Job you’ve probably never heard of pays £61,000 a year & you don’t need a degree",https://www.thesun.co.uk/money/21943083/job-youve-never-heard-of/
79,SUN SAVERS,Five ways to save your dough and use up stale slices of bread,https://www.thesun.co.uk/money/21945915/five-ways-save-dough-sun-savers-money-tips/
80,SEA YA,UK beach bar that looks like it's abroad & Brits say it's the 'best in the world',https://www.thesun.co.uk/travel/21948079/uk-beach-bar-best-world-cornwall/
81,NO ROOM,Spain holiday blow as hotels scrap much-loved freebies at popular hotspot,https://www.thesun.co.uk/travel/21952053/spain-hotel-freebies-scrapped/
82,TAKE A BREAK,'Most popular' holiday habits revealed - from the relaxing to the surprising,https://www.thesun.co.uk/health/21956262/most-popular-holiday-habits-revealed/
83,SPLIT-TACULAR,The best Croatia deals from £293pp including flights this spring,https://www.thesun.co.uk/travel/21921353/croatia-best-deals-beach-holidays/
84,STRIKE OUT,Full list of airport strikes to hit families this week - are your hols affected?,https://www.thesun.co.uk/travel/21947018/full-list-airport-strikes-easter-france-spain-portugal/
85,'OUR SUNSHINE',TikTok star dies aged 18 after tragic cancer battle as family pay tribute,https://www.thesun.co.uk/news/21957989/tiktok-star-harrison-gilks-dies-cancer/
86,TAKE NOTE,Urgent NHS prescription warning ahead of Easter bank holiday - are you affected?,https://www.thesun.co.uk/health/21947394/nhs-prescriptions-warning-easter-bank-holidays/
87,BUG BEAR,Warning as scientists fear mpox mutated after vaccinated people fall sick,https://www.thesun.co.uk/health/21940593/monkeypox-mpox-mutate-vaccine/
88,MY HORROR,My vaping addiction made my lungs collapse and look like I've smoked for decades,https://www.thesun.co.uk/health/21949216/teens-lungs-collapsed-because-of-vaping-addiction/
89,DOUBLE TAKE,This optical illusion could reveal a serious mental health condition,https://www.thesun.co.uk/health/21950866/schizophrenia-test-optical-illusion/
90,"WORK HARD, PLAY HARD",I make £50k-a-year playing FIFA without leaving my room - here's how,https://www.thesun.co.uk/tech/21949462/professional-gamer-fifa-playstation-bedroom-makes-living/
91,TEXT TERROR,Google issues critical safety alert – search inbox for ‘danger phrase’,https://www.thesun.co.uk/tech/21956031/google-critical-warning-youtube-scam-email/
92,JAWS OF DEATH,World’s deadliest sharks and their ‘hunting grounds’ revealed in new list,https://www.thesun.co.uk/tech/21957450/world-deadliest-sharks-hunting-grounds-hotspot/
93,MOVE THE GOAL,I quit my football career to become a girl gamer - now I'm making history,https://www.thesun.co.uk/tech/21949686/football-to-gamer-girl-kelsie-grieg-call-of-duty/
94,GAME ON,Sky TV customers can receive another free upgrade - but there's a catch,https://www.thesun.co.uk/tech/21946834/sky-tv-customers-free-upgrade-sky-go-app-xbox/
